# timestamp x y z qx qy qz qw
1770176347.952831 0.008834 0.001683 0.005350 0.001729 -0.148701 -0.000589 0.988880
1770176348.052993 0.007677 0.000744 0.005108 0.001750 -0.148015 -0.002621 0.988980
1770176348.155988 0.007112 0.000975 0.004828 0.000046 -0.150044 -0.002803 0.988675
1770176348.264277 0.005543 -0.000372 0.004260 0.003279 -0.147921 -0.002854 0.988990
1770176348.352029 0.007981 0.000058 0.004008 0.001163 -0.149678 -0.001065 0.988733
1770176348.454063 0.009172 0.001375 0.003908 0.002484 -0.148556 -0.001421 0.988900
1770176348.572584 0.009817 -0.002155 0.001854 0.003426 -0.148551 -0.004030 0.988891
1770176348.664438 0.009747 -0.003350 0.002891 0.001429 -0.148994 -0.001821 0.988835
1770176348.743885 0.008486 -0.004521 0.005930 0.000310 -0.149533 -0.002450 0.988754
1770176348.856641 0.010532 -0.000708 0.005985 0.004196 -0.149961 -0.003347 0.988677
1770176348.967059 0.009139 0.000017 0.004084 0.002194 -0.148281 -0.003012 0.988938
1770176349.054374 0.008231 0.003171 0.003453 0.001554 -0.148968 -0.000785 0.988841
1770176349.155980 0.007061 0.002361 0.005212 0.002111 -0.149580 -0.003849 0.988740
1770176349.243691 0.005506 0.000056 0.005153 0.003481 -0.149999 -0.002687 0.988676
1770176349.363529 0.005623 -0.001844 0.004962 0.003935 -0.148720 -0.004180 0.988863
1770176349.450815 0.006438 -0.003213 0.004376 0.000782 -0.149786 -0.001009 0.988718
1770176349.552996 0.007342 -0.005219 0.002911 0.002233 -0.147639 -0.002792 0.989035
1770176349.641200 0.007494 -0.003836 0.003695 0.003117 -0.149005 -0.002185 0.988829
1770176349.757904 0.009102 -0.003232 0.004549 0.001167 -0.150559 -0.001404 0.988599
1770176349.857645 0.010458 0.000583 0.005144 0.002833 -0.149615 -0.004119 0.988732
1770176349.958454 0.009729 -0.002280 0.003203 0.003572 -0.148712 -0.002687 0.988870
1770176350.052963 0.007842 -0.002966 0.002837 0.002947 -0.149359 -0.001935 0.988777
1770176350.166715 0.008303 -0.001998 0.003070 -0.000400 -0.149948 0.000216 0.988694
1770176350.265776 0.008364 -0.001666 0.004494 0.001607 -0.148589 -0.003070 0.988893
1770176350.355505 0.005951 -0.001994 0.003526 0.002803 -0.149296 -0.002156 0.988786
1770176350.461379 0.008780 -0.000770 0.002889 0.001110 -0.149046 -0.001520 0.988828
